#id	set	correctLabelW0orW1	warrant0	warrant1	reason	claim	debateTitle	debateInfo
16986890_91_A1HKYY6XI2OHO1	dev	1	[867, 35, 7, 391, 4995, 288, 8, 668]	[867, 23, 18, 35, 275, 4995]	[6041, 29, 34, 353, 4003, 19, 94, 2602, 4, 15, 5720, 6]	[102, 12, 10, 731, 4, 419, 867, 284]	[33, 102, 2276, 4, 2269, 2270, 191, 5]	[962, 37, 2251, 22, 2253, 8, 1012, 13, 1665, 2239, 14, 17, 26, 326, 4, 2268, 4, 509, 973, 8, 1713, 1693, 5]
16146730_138_AB98SGS280TY5	dev	0	[5369, 32, 293, 59, 10, 427, 30, 390, 6]	[5369, 32, 293, 1791, 30, 390, 6]	[376, 32, 597, 16, 181, 36, 1988, 293, 8, 1699, 5807, 5868, 32, 597, 78, 46, 15, 7, 44, 1317, 6]	[597, 27, 15, 7, 3154]	[103, 597, 884, 89, 7, 3592, 4, 2776, 1520, 4, 181, 5]	[103, 597, 15, 52, 1317, 16, 3016, 181, 8, 987, 293, 31, 12, 20, 69, 1089, 2976, 4, 3, 290, 853, 5]
16971054_138_AYFOAD75CRBKE	dev	1	[1973, 5439, 105, 3, 2511, 28, 1237]	[1973, 59, 18, 1584, 105, 3, 2511, 28, 1237]	[233, 90, 1973, 12, 117, 55, 179, 1733, 14, 147, 86, 20, 60, 176, 51, 3873, 6]	[102, 12, 10, 731, 4, 419, 867, 284]	[33, 102, 2276, 4, 2269, 2270, 191, 5]	[962, 37, 2251, 22, 2253, 8, 1012, 13, 1665, 2239, 14, 17, 26, 326, 4, 2268, 4, 509, 973, 8, 1713, 1693, 5]
15419119_299_APW9F8OTJ4KXO	dev	1	[43, 227, 46, 1943, 4, 117, 352, 16, 79, 153, 4551, 598, 14, 20, 12, 22, 130, 4, 23, 104]	[43, 227, 46, 10, 1943, 4, 117, 352, 16, 79, 153, 4551, 598, 14, 20, 12, 22, 130, 4, 321, 4087]	[611, 3, 361, 386, 14, 3, 120, 46, 15, 16, 3, 5906, 4082, 6]	[361, 384, 12, 10, 69, 1211]	[33, 3, 361, 386, 257, 3726, 5]	[33, 2522, 2316, 3, 95, 64, 4, 472, 715, 547, 5, 287, 12, 274, 95, 3716, 3681, 5]
14233179_121_AYFOAD75CRBKE	dev	0	[84, 671, 1315, 12, 3, 185]	[10, 671, 1315, 12, 3, 185]	[6036, 9, 404, 137, 4063, 872, 60, 390, 31, 1005, 6]	[305, 17, 15, 719, 4, 19, 133, 40, 137]	[33, 129, 1766, 1289, 7, 1759, 1764, 5]	[25, 30, 311, 15, 719, 4, 19, 133, 40, 137, 5]
14370228_0_A104V8NZIQFN2F	dev	0	[311, 17, 262, 1278, 409]	[311, 17, 10, 1278, 409]	[188, 3, 409, 75, 371, 55, 11, 1727, 21, 11, 13, 311, 85, 6]	[1415, 34, 545, 161, 11, 1297]	[58, 1415, 34, 2418, 112, 199, 2424, 5]	[39, 185, 34, 545, 161, 294, 52, 125, 773, 16, 114, 14, 31, 11, 26, 1297, 5]
17024278_160_A247LJDZOGXJK6	dev	1	[4275, 5208, 27, 15, 4351, 29, 7, 1088, 1678]	[4275, 5208, 11, 515, 4, 2208, 29, 7, 1088, 1678]	[2561, 310, 468, 27, 4643, 229, 4, 42, 1741, 4, 2120, 22, 1366, 6]	[102, 17, 15, 202, 4, 1133, 310, 468]	[25, 102, 89, 571, 4, 1225, 917, 1226, 5]	[140, 1007, 1212, 14, 134, 174, 123, 321, 3, 291, 212, 4, 68, 1209, 3, 1016, 9, 7, 468, 7, 508, 6]
16157609_550_APW9F8OTJ4KXO	dev	1	[80, 24, 23, 10, 19, 158, 4699, 24, 16, 22, 444, 4, 458, 211, 32]	[24, 19, 158, 4699, 24, 16, 22, 444, 4, 458, 211, 32]	[193, 35, 45, 24, 30, 53, 26, 459, 6]	[5676, 27, 10, 15, 388, 4, 1968, 2903, 8, 4567]	[5665, 5, 282, 28, 52, 4390, 13, 2217]	[103, 831, 15, 388, 4, 1968, 2903, 8, 4567, 5]
14230144_260_A34QZDSTKZ3JO9	dev	1	[109, 182, 59, 18, 971, 4, 3, 1742, 9, 74]	[109, 182, 27, 15, 52, 4307, 4, 3, 1742, 9, 74]	[1178, 137, 1914, 182, 12, 5839, 14, 20, 186, 3, 95, 1134, 128, 372, 244, 6]	[305, 17, 15, 719, 4, 19, 133, 40, 137]	[33, 129, 1766, 1289, 7, 1759, 1764, 5]	[25, 30, 311, 15, 719, 4, 19, 133, 40, 137, 5]
14367986_0_A2GHGJP29KRWOQ	dev	1	[63, 1804, 1383, 12, 10, 176, 748]	[63, 1804, 1383, 12, 748]	[1415, 545, 66, 1777, 7, 1804, 1383, 6]	[1415, 34, 545, 161, 11, 117, 748]	[58, 1415, 34, 2418, 112, 199, 2424, 5]	[39, 185, 34, 545, 161, 294, 52, 125, 773, 16, 114, 14, 31, 11, 26, 1297, 5]
16624526_138_A1CF6U3GF7DZEJ	dev	0	[63, 1994, 12, 1270, 90, 16, 7, 1070, 171]	[63, 1994, 12, 1270, 44, 16, 7, 1070, 171]	[312, 436, 3, 409, 8, 5192, 20, 211, 41, 22, 1131, 4, 22, 2603, 8, 435, 275, 755, 3910, 41, 412, 9, 648, 148, 6]	[312, 91, 18, 15, 954]	[103, 312, 89, 1246, 5]	[1172, 28, 963, 1115, 29, 1240, 1022, 51, 94, 1116, 981, 21, 1120, 1011, 12, 394, 6]
15986315_221_A2JKETV64OU7DY	dev	0	[43, 5262, 11, 1546, 8, 792]	[43, 5262, 11, 309, 243, 5695, 8, 19, 60, 61]	[1182, 11, 1334, 1546, 14, 292, 2698, 14, 8, 2533, 6]	[1680, 12, 345, 7, 552]	[33, 1680, 884, 7, 2558, 5]	[33, 2502, 718, 41, 101, 9, 7, 552, 13, 3, 113, 41, 80, 2548, 5]
14370176_130_A3C9GGDXBZW62D	dev	1	[20, 28, 83, 4, 19, 52, 702, 21, 12, 18, 4544]	[20, 28, 83, 4, 19, 52, 702, 21, 12, 4544]	[6006, 16, 311, 1990, 7, 580, 702, 21, 12, 18, 160, 4544, 6]	[1415, 34, 545, 161, 11, 1297]	[58, 1415, 34, 2418, 112, 199, 2424, 5]	[39, 185, 34, 545, 161, 294, 52, 125, 773, 16, 114, 14, 31, 11, 26, 1297, 5]
14233480_249_A1I4CYG5YDFTYM	dev	0	[26, 27, 1968, 1392, 1474, 107, 5199, 34, 184, 31, 5217, 65]	[26, 27, 10, 1968, 1392, 1474, 107, 5199, 34, 184, 31, 5217, 65]	[5653, 11, 83, 40, 4248, 225, 53, 861, 6]	[305, 17, 15, 719, 4, 19, 133, 40, 137]	[33, 129, 1766, 1289, 7, 1759, 1764, 5]	[25, 30, 311, 15, 719, 4, 19, 133, 40, 137, 5]
14383502_468_A1LZPWVZRTUZD0	dev	1	[212, 4810, 409, 336, 73, 4, 1545, 454, 22, 2455, 29, 5223, 9, 22, 38]	[212, 4810, 409, 59, 18, 336, 73, 4, 1545, 454, 22, 2455, 29, 5223, 9, 22, 38]	[2844, 27, 68, 22, 175, 250, 767, 119, 38, 17, 15, 1333, 57, 3, 212, 6]	[228, 111, 223, 672, 17, 10, 336, 42, 4, 794, 517, 225, 13, 22, 38]	[228, 111, 1965, 1937, 1446, 302, 28, 1421]	[25, 73, 111, 223, 672, 336, 42, 4, 794, 517, 225, 13, 22, 38, 31, 472, 1844, 517, 1457, 5]
15875797_76_APW9F8OTJ4KXO	dev	1	[3, 342, 9, 43, 17, 10, 15, 834, 344, 195, 9, 3, 1118, 9, 7, 417]	[3, 342, 9, 43, 17, 15, 834, 344, 195, 9, 3, 1118, 9, 7, 417]	[193, 11, 5278, 3, 341, 4, 242, 145, 308, 13, 22, 324, 6]	[2845, 1466, 1449]	[25, 111, 1466, 1449, 111, 89, 2499, 5]	[2491, 2493, 1959, 11, 1223, 13, 52, 690, 4, 3, 958, 1375, 21, 7, 173, 1633, 16, 3, 113, 12, 7, 113, 1222, 6, 33, 63, 7, 44, 741, 5]
15164217_397_A104V8NZIQFN2F	dev	0	[1063, 217, 18, 2595, 79, 390]	[1063, 36, 2595, 79, 390]	[1528, 135, 279, 215, 1660, 4, 5749, 1167, 30, 390, 6]	[1795, 12, 7, 1282, 381]	[33, 1795, 7, 2759, 1999, 5]	[39, 49, 117, 35, 4, 1467, 105, 2840, 2841, 28, 795, 9, 52, 2806, 2189, 5]
16625502_544_A3C9GGDXBZW62D	dev	0	[49, 35, 42, 4, 15, 2669]	[49, 23, 18, 35, 42, 4, 15, 2669]	[272, 20, 12, 18, 16, 7, 142, 95, 546, 14, 49, 27, 10, 1539, 29, 42, 4, 15, 2669, 6]	[312, 91, 18, 15, 954]	[103, 312, 89, 1246, 5]	[1172, 28, 963, 1115, 29, 1240, 1022, 51, 94, 1116, 981, 21, 1120, 1011, 12, 394, 6]
17009879_146_A1LZPWVZRTUZD0	dev	1	[1057, 3711, 24, 147, 30, 5426, 746, 2905]	[1057, 186, 117, 197, 4, 673, 8, 1441, 3780, 5966]	[1178, 4894, 28, 468, 4880, 425, 4300, 93, 4743, 425, 1463, 8, 239, 4209, 5269, 1057, 15, 2906, 6]	[102, 17, 15, 247, 4, 1133, 310, 468]	[25, 102, 89, 571, 4, 1225, 917, 1226, 5]	[140, 1007, 1212, 14, 134, 174, 123, 321, 3, 291, 212, 4, 68, 1209, 3, 1016, 9, 7, 468, 7, 508, 6]
17012985_251_A1OYYWJ2B7OQTD	dev	1	[1431, 17, 19, 3, 130, 4, 15, 16, 816, 9, 22, 2554]	[1431, 17, 10, 19, 3, 130, 4, 15, 16, 816, 9, 22, 2554]	[2561, 12, 7, 508, 1102, 476, 14, 24, 17, 15, 1546, 29, 623, 225, 8, 975, 6]	[102, 17, 15, 202, 4, 1133, 310, 468]	[25, 102, 89, 571, 4, 1225, 917, 1226, 5]	[140, 1007, 1212, 14, 134, 174, 123, 321, 3, 291, 212, 4, 68, 1209, 3, 1016, 9, 7, 468, 7, 508, 6]
15418829_538_A1DJNUJZN8FE7N	dev	1	[79, 1350, 1995, 1029, 1673]	[79, 1350, 1995, 2793, 1673]	[1554, 657, 3, 3165, 9, 7, 384, 28, 1134, 14, 49, 160, 19, 3, 2637, 4, 3533, 3, 5396, 31, 242, 8, 3533, 270, 6]	[361, 384, 12, 10, 69, 1211]	[33, 3, 361, 386, 257, 3726, 5]	[33, 2522, 2316, 3, 95, 64, 4, 472, 715, 547, 5, 287, 12, 274, 95, 3716, 3681, 5]
16325513_0_A2D7S8Y2FAUWMC	dev	0	[446, 28, 2307, 3924, 19, 10, 94, 5121, 3776, 57, 4662, 34, 5243, 2508, 1272]	[446, 28, 2307, 3924, 19, 94, 5121, 3776, 57, 4662, 34, 5243, 2508, 1272]	[2226, 7, 393, 9, 1237, 128, 19, 1213, 141, 27, 10, 1961, 446, 28, 2307, 3924, 4, 3, 966, 9, 1945, 1738, 6]	[4152, 2721, 1597, 17, 10, 163, 2617]	[58, 4102, 34, 901, 4110, 4103, 4114, 2766, 5]	[25, 3990, 2721, 1597, 163, 2617, 13, 3, 901, 2508, 1272, 5]
16634255_46_A247LJDZOGXJK6	dev	1	[20, 59, 18, 657, 76, 3, 2488, 1819, 105, 20]	[20, 1541, 76, 3, 2488, 1819, 105, 20]	[2565, 1791, 5587, 14, 8, 4502, 7, 249, 28, 1816, 59, 30, 567, 53, 44, 6]	[948, 1445, 17, 10, 15, 889, 157, 955]	[25, 948, 2280, 89, 2275, 1702, 2215, 5]	[2221, 2273, 2278, 2279, 825, 4, 370, 1613, 3, 462, 4, 1958, 1685, 2264, 6, 33, 63, 3, 130, 709, 5]
16967643_582_A34QZDSTKZ3JO9	dev	0	[37, 46, 641, 29, 3, 90, 8, 44, 1262]	[37, 46, 641, 29, 3, 90, 1262]	[5366, 336, 867, 4, 15, 1116, 65, 29, 90, 1262, 6]	[102, 12, 731, 4, 419, 867, 284]	[33, 102, 2276, 4, 2269, 2270, 191, 5]	[962, 37, 2251, 22, 2253, 8, 1012, 13, 1665, 2239, 14, 17, 26, 326, 4, 2268, 4, 509, 973, 8, 1713, 1693, 5]
13848355_386_AE861G0AY5RGT	dev	0	[41, 204, 895, 500, 201, 10, 15, 197, 4, 1672, 1162]	[41, 204, 895, 500, 17, 15, 197, 4, 1672, 1162]	[4383, 4869, 27, 15, 5575, 6]	[4383, 1605, 3959, 17, 15, 3876]	[2776, 5410, 5391, 5]	[25, 3, 905, 1605, 3959, 15, 3876, 5]
15893089_211_AA7ASGQEOMKEZ	dev	0	[49, 19, 43, 30, 125, 5003, 50, 5099, 598, 21, 11, 18, 4368, 4, 446, 28, 479, 119, 427, 7, 416, 1985, 390]	[49, 19, 43, 30, 125, 5003, 50, 5099, 598, 21, 11, 18, 4368, 4, 446, 28, 479, 119, 427, 7, 416, 30, 390]	[48, 1466, 1449, 409, 186, 4280, 13, 132, 4229, 14, 119, 12, 10, 4368, 4, 446, 28, 479, 6]	[2845, 1466, 1449]	[25, 111, 1466, 1449, 111, 89, 2499, 5]	[2491, 2493, 1959, 11, 1223, 13, 52, 690, 4, 3, 958, 1375, 21, 7, 173, 1633, 16, 3, 113, 12, 7, 113, 1222, 6, 33, 63, 7, 44, 741, 5]
14382500_212_A247LJDZOGXJK6	dev	0	[5363, 1069, 187]	[5363, 1069, 1199, 8, 1442]	[5644, 517, 225, 36, 229, 4, 358, 1199, 8, 1442, 6]	[228, 111, 223, 672, 17, 10, 336, 42, 4, 794, 517, 225, 13, 22, 38]	[228, 111, 1965, 1937, 1446, 302, 28, 1421]	[25, 73, 111, 223, 672, 336, 42, 4, 794, 517, 225, 13, 22, 38, 31, 472, 1844, 517, 1457, 5]
16325513_0_A1I4CYG5YDFTYM	dev	1	[3, 2508, 1272, 1339, 4, 3, 732, 1770, 9, 4799, 8, 4640]	[20, 186, 18, 3, 2508, 1272, 1339, 4, 3, 732, 1770, 9, 4799, 8, 4640]	[2226, 7, 393, 9, 1237, 128, 19, 1213, 141, 27, 10, 1961, 446, 28, 2307, 3924, 4, 3, 966, 9, 1945, 1738, 6]	[4152, 2721, 1597, 17, 10, 163, 2617]	[58, 4102, 34, 901, 4110, 4103, 4114, 2766, 5]	[25, 3990, 2721, 1597, 163, 2617, 13, 3, 901, 2508, 1272, 5]
16629299_15_A247LJDZOGXJK6	dev	1	[20, 12, 3, 71, 28, 1026, 4, 242, 2456, 21, 27, 10, 15, 5188]	[142, 36, 833, 4, 2723, 3, 2456]	[312, 2723, 2456]	[312, 91, 18, 15, 954]	[103, 312, 89, 1246, 5]	[1172, 28, 963, 1115, 29, 1240, 1022, 51, 94, 1116, 981, 21, 1120, 1011, 12, 394, 6]
15978831_359_AE861G0AY5RGT	dev	0	[512, 23, 18, 163, 157, 3, 341]	[227, 23, 18, 106, 512, 4, 163, 157, 3, 341]	[571, 512, 155, 803, 9, 3, 5551, 268, 51, 4, 509, 99, 839, 157, 3, 341, 6]	[1680, 12, 345, 7, 552]	[33, 1680, 884, 7, 2558, 5]	[33, 2502, 718, 41, 101, 9, 7, 552, 13, 3, 113, 41, 80, 2548, 5]
16623737_154_A34QZDSTKZ3JO9	dev	1	[142, 36, 1312, 4, 68, 2603, 61]	[142, 36, 1312, 4, 5449, 3, 2603, 61]	[312, 36, 96, 275, 647, 421, 4, 15, 1015, 6]	[312, 91, 18, 15, 954]	[103, 312, 89, 1246, 5]	[1172, 28, 963, 1115, 29, 1240, 1022, 51, 94, 1116, 981, 21, 1120, 1011, 12, 394, 6]
16625746_229_AYFOAD75CRBKE	dev	1	[80, 11, 1592, 57, 3755, 24]	[80, 11, 10, 1592, 57, 3755, 24]	[312, 106, 4, 15, 1197, 4, 30, 214, 979, 53, 3, 882, 1222, 6]	[312, 91, 18, 15, 954]	[103, 312, 89, 1246, 5]	[1172, 28, 963, 1115, 29, 1240, 1022, 51, 94, 1116, 981, 21, 1120, 1011, 12, 394, 6]
16629299_15_A1CF6U3GF7DZEJ	dev	0	[3, 1656, 4870, 11, 10, 4804]	[3, 1656, 4870, 11, 4804]	[312, 2723, 2456]	[312, 91, 18, 15, 954]	[103, 312, 89, 1246, 5]	[1172, 28, 963, 1115, 29, 1240, 1022, 51, 94, 1116, 981, 21, 1120, 1011, 12, 394, 6]
15986315_221_A34QZDSTKZ3JO9	dev	1	[512, 36, 443, 19, 118, 452]	[512, 36, 1699, 4, 19, 118, 452]	[1182, 11, 1334, 1546, 14, 292, 2698, 14, 8, 2533, 6]	[1680, 12, 345, 7, 552]	[33, 1680, 884, 7, 2558, 5]	[33, 2502, 718, 41, 101, 9, 7, 552, 13, 3, 113, 41, 80, 2548, 5]
16620527_0_A34QZDSTKZ3JO9	dev	1	[4379, 4374, 26, 144, 791]	[4379, 2482, 26, 144, 791]	[4379, 4233, 215, 8, 1069, 30, 5607, 57, 1115, 32, 5451, 6]	[312, 91, 18, 15, 954]	[103, 312, 89, 1246, 5]	[1172, 28, 963, 1115, 29, 1240, 1022, 51, 94, 1116, 981, 21, 1120, 1011, 12, 394, 6]
14164520_257_A104V8NZIQFN2F	dev	1	[1125, 142, 36, 370, 262, 71, 3, 238, 61, 20, 154, 4, 2874, 967]	[1125, 142, 36, 10, 370, 71, 3, 238, 61, 20, 154, 4, 2874, 967]	[47, 35, 4, 2874, 967, 13, 448, 1738, 6]	[48, 901, 2130, 17, 10, 15, 2059, 4, 1895]	[3585, 3614, 16, 3, 901]	[25, 3, 901, 2130, 15, 2059, 4, 218, 34, 3041, 1125, 8, 1127, 1895, 5]
16635954_53_A1LZPWVZRTUZD0	dev	1	[20, 148, 1809, 4, 548, 600, 1445, 157, 955, 99, 44, 774]	[20, 59, 10, 152, 1809, 4, 548, 600, 1445, 157, 955, 99, 44, 774]	[48, 85, 44, 403, 4, 10, 838, 600, 1445, 157, 955, 12, 24, 4600, 105, 152, 6]	[948, 1445, 17, 15, 889, 157, 955]	[25, 948, 2280, 89, 2275, 1702, 2215, 5]	[2221, 2273, 2278, 2279, 825, 4, 370, 1613, 3, 462, 4, 1958, 1685, 2264, 6, 33, 63, 3, 130, 709, 5]
14085948_448_A1CF6U3GF7DZEJ	dev	0	[26, 11, 10, 3, 85, 24, 49, 19, 16, 63, 371]	[26, 11, 3, 85, 24, 49, 19, 16, 63, 371]	[272, 141, 46, 670, 40, 755, 4500, 41, 128, 23, 14, 41, 7, 4205, 5632, 14, 5474, 21, 4500, 21, 833, 4, 189, 65, 13, 1957, 8, 27, 85, 576, 4, 7, 1779, 13, 7, 657, 9, 4204, 14, 456, 629, 5476, 4335, 41, 7, 2487, 14, 27, 16, 60, 64, 15, 2556, 6]	[2927, 11, 4260]	[58, 2927, 4382, 5]	[39, 4011, 19, 69, 101, 3710, 14, 743, 22, 4268, 592, 40, 4296, 8, 1664, 5]
14085524_189_A34QZDSTKZ3JO9	dev	0	[2479, 12, 10, 5074]	[1063, 12, 10, 5074]	[5663, 12, 10, 1063, 6]	[2927, 11, 4260]	[58, 2927, 4382, 5]	[39, 4011, 19, 69, 101, 3710, 14, 743, 22, 4268, 592, 40, 4296, 8, 1664, 5]
17042201_161_AB98SGS280TY5	dev	1	[4580, 867, 968, 37, 68, 1911, 8, 1703, 1087, 6]	[4580, 867, 59, 18, 108, 37, 68, 1911, 8, 1703, 1087, 6]	[4580, 867, 284, 5743, 60, 5911, 131, 29, 3, 249, 219, 3, 1973, 6]	[102, 12, 10, 731, 4, 419, 867, 284]	[33, 102, 2276, 4, 2269, 2270, 191, 5]	[962, 37, 2251, 22, 2253, 8, 1012, 13, 1665, 2239, 14, 17, 26, 326, 4, 2268, 4, 509, 973, 8, 1713, 1693, 5]
15986315_221_AYFOAD75CRBKE	dev	1	[21, 12, 7, 2339, 2447, 57, 3688]	[21, 12, 10, 7, 2339, 2447, 57, 3688]	[1182, 11, 1334, 1546, 14, 292, 2698, 14, 8, 2533, 6]	[1680, 12, 345, 7, 552]	[33, 1680, 884, 7, 2558, 5]	[33, 2502, 718, 41, 101, 9, 7, 552, 13, 3, 113, 41, 80, 2548, 5]
17090878_0_A34QZDSTKZ3JO9	dev	0	[421, 395, 4697, 11, 18, 41, 4490]	[80, 421, 395, 4697, 11, 124, 41, 4490]	[48, 2910, 9, 2905, 8, 275, 4366, 4, 1441, 3, 4446, 12, 4490, 6]	[102, 17, 15, 202, 4, 1133, 310, 468]	[25, 102, 89, 571, 4, 1225, 917, 1226, 5]	[140, 1007, 1212, 14, 134, 174, 123, 321, 3, 291, 212, 4, 68, 1209, 3, 1016, 9, 7, 468, 7, 508, 6]
14233480_105_A3GNQDFPZALU92	dev	0	[137, 1914, 1442, 407, 23, 18, 5073, 3, 92, 407, 9, 1613]	[137, 1914, 1442, 407, 267, 5073, 3, 92, 407, 9, 147, 1613]	[6014, 4063, 19, 92, 3675, 407, 6]	[305, 17, 15, 719, 4, 19, 133, 40, 137]	[33, 129, 1766, 1289, 7, 1759, 1764, 5]	[25, 30, 311, 15, 719, 4, 19, 133, 40, 137, 5]
16146321_374_A104V8NZIQFN2F	dev	1	[4112, 3347, 36, 242, 7, 1690, 5412, 5006]	[4112, 3347, 36, 10, 242, 7, 1690, 5412, 5006]	[597, 12, 629, 181, 4, 242, 1569, 8, 4528, 50, 4112, 3347, 6]	[597, 27, 10, 15, 7, 3154]	[103, 597, 884, 89, 7, 3592, 4, 2776, 1520, 4, 181, 5]	[103, 597, 15, 52, 1317, 16, 3016, 181, 8, 987, 293, 31, 12, 20, 69, 1089, 2976, 4, 3, 290, 853, 5]
14083548_195_A1CF6U3GF7DZEJ	dev	0	[3, 526, 12, 5497, 219, 149]	[3, 526, 12, 219, 149]	[48, 526, 12, 7, 2382, 1771, 9, 397, 5847, 4011, 6]	[2927, 11, 10, 4260]	[58, 2927, 4382, 5]	[39, 4011, 19, 69, 101, 3710, 14, 743, 22, 4268, 592, 40, 4296, 8, 1664, 5]
16633504_360_A104V8NZIQFN2F	dev	1	[20, 46, 15, 1394, 4, 124, 2609, 54, 3, 1072, 211, 8, 1453, 20, 65, 1733]	[20, 46, 15, 30, 1041, 4, 124, 2609, 54, 3, 1072, 211, 8, 1453, 20, 65, 1733]	[102, 59, 10, 212, 76, 26, 4533, 78, 169, 154, 169, 955, 14, 8, 278, 12, 1065, 16, 3, 5930, 9, 169, 169, 5846, 213, 169, 6]	[948, 1445, 17, 10, 15, 889, 157, 955]	[25, 948, 2280, 89, 2275, 1702, 2215, 5]	[2221, 2273, 2278, 2279, 825, 4, 370, 1613, 3, 462, 4, 1958, 1685, 2264, 6, 33, 63, 3, 130, 709, 5]
15163963_215_AE861G0AY5RGT	dev	0	[3, 5361, 11, 245, 30, 133, 16, 457, 2211]	[3, 5361, 11, 60, 176, 245, 133, 16, 457, 2211]	[6017, 12, 3918, 6]	[1795, 12, 7, 1282, 381]	[33, 1795, 7, 2759, 1999, 5]	[39, 49, 117, 35, 4, 1467, 105, 2840, 2841, 28, 795, 9, 52, 2806, 2189, 5]
