#id	set	correctLabelW0orW1	warrant0	warrant1	reason	claim	debateTitle	debateInfo
16146730_138_AB98SGS280TY5	dev	0	[843, 28, 303, 41, 11, 420, 29, 381, 6]	[843, 28, 303, 1577, 29, 381, 6]	[132, 28, 554, 17, 186, 36, 1758, 303, 9, 1492, 5128, 5194, 28, 554, 91, 42, 15, 7, 38, 1176, 6]	[554, 24, 15, 7, 1829]	[24, 554, 238, 15, 7, 1829, 4, 532, 398, 4, 186, 5]	[24, 554, 15, 55, 1176, 17, 2688, 186, 9, 843, 303, 30, 8, 19, 57, 985, 2648, 4, 3, 285, 693, 5]
16971054_138_AYFOAD75CRBKE	dev	1	[1559, 4783, 103, 3, 2238, 31, 931]	[1559, 41, 20, 1093, 103, 3, 2238, 31, 931]	[7, 82, 1559, 8, 72, 49, 175, 1528, 16, 141, 71, 19, 67, 162, 43, 3440, 6]	[19, 8, 11, 562, 4, 362, 637, 119]	[8, 19, 562, 4, 362, 637, 119, 5]	[39, 34, 1995, 25, 1997, 9, 908, 14, 1455, 1978, 16, 13, 26, 330, 4, 1981, 4, 495, 594, 9, 1508, 1485, 5]
15419119_299_APW9F8OTJ4KXO	dev	1	[45, 231, 42, 1707, 4, 72, 281, 17, 89, 150, 4025, 530, 16, 19, 8, 25, 130, 4, 18, 108]	[45, 231, 42, 11, 1707, 4, 72, 281, 17, 89, 150, 4025, 530, 16, 19, 8, 25, 130, 4, 325, 3661]	[87, 3, 339, 174, 16, 3, 73, 42, 15, 17, 3, 5232, 3656, 6]	[339, 174, 8, 11, 57, 927]	[8, 3, 339, 174, 57, 927, 5]	[8, 2248, 2057, 3, 99, 75, 4, 460, 653, 519, 5, 30, 8, 224, 99, 3312, 3271, 5]
14233179_121_AYFOAD75CRBKE	dev	0	[90, 607, 1174, 8, 3, 167]	[11, 607, 1174, 8, 3, 167]	[586, 12, 292, 63, 3638, 798, 67, 381, 30, 902, 6]	[148, 13, 15, 670, 4, 21, 110, 40, 63]	[8, 63, 987, 290, 7, 277, 387, 5]	[13, 29, 148, 15, 670, 4, 21, 110, 40, 63, 5]
14370228_0_A104V8NZIQFN2F	dev	0	[148, 13, 271, 1139, 363]	[148, 13, 11, 1139, 363]	[17, 3, 363, 54, 374, 49, 10, 1520, 23, 10, 14, 148, 92, 6]	[167, 35, 458, 65, 10, 1155]	[10, 167, 35, 458, 65, 72, 575, 5]	[18, 167, 35, 458, 65, 198, 55, 131, 712, 17, 115, 16, 30, 10, 26, 1155, 5]
17024278_160_A247LJDZOGXJK6	dev	1	[3757, 4684, 24, 15, 3833, 33, 7, 983, 1466]	[3757, 4684, 10, 500, 4, 1966, 33, 7, 983, 1466]	[1574, 232, 329, 24, 4097, 214, 4, 44, 1537, 4, 1899, 25, 657, 6]	[19, 13, 15, 143, 4, 584, 232, 329]	[13, 19, 15, 143, 4, 584, 232, 329, 5]	[28, 384, 1080, 16, 80, 176, 111, 325, 3, 299, 168, 4, 78, 1013, 3, 914, 12, 7, 329, 7, 494, 6]
16157609_550_APW9F8OTJ4KXO	dev	1	[51, 22, 18, 11, 21, 158, 4152, 22, 17, 25, 439, 4, 448, 215, 28]	[22, 21, 158, 4152, 22, 17, 25, 439, 4, 448, 215, 28]	[22, 27, 50, 22, 29, 52, 26, 449, 6]	[738, 24, 11, 15, 379, 4, 1731, 2593, 9, 4042]	[2211, 5, 49, 31, 55, 1727, 14, 23]	[24, 738, 15, 379, 4, 1731, 2593, 9, 4042, 5]
14230144_260_A34QZDSTKZ3JO9	dev	1	[106, 173, 41, 20, 874, 4, 3, 1538, 12, 66]	[106, 173, 24, 15, 55, 3789, 4, 3, 1538, 12, 66]	[292, 63, 987, 173, 8, 5161, 16, 19, 154, 3, 99, 1023, 123, 290, 251, 6]	[148, 13, 15, 670, 4, 21, 110, 40, 63]	[8, 63, 987, 290, 7, 277, 387, 5]	[13, 29, 148, 15, 670, 4, 21, 110, 40, 63, 5]
14367986_0_A2GHGJP29KRWOQ	dev	1	[69, 1589, 1241, 8, 11, 162, 575]	[69, 1589, 1241, 8, 575]	[167, 458, 64, 1563, 7, 1589, 1241, 6]	[167, 35, 458, 65, 10, 72, 575]	[10, 167, 35, 458, 65, 72, 575, 5]	[18, 167, 35, 458, 65, 198, 55, 131, 712, 17, 115, 16, 30, 10, 26, 1155, 5]
16624526_138_A1CF6U3GF7DZEJ	dev	0	[69, 1767, 8, 1132, 82, 17, 7, 964, 170]	[69, 1767, 8, 1132, 38, 17, 7, 964, 170]	[93, 291, 3, 363, 9, 4666, 19, 215, 39, 25, 1022, 4, 25, 2318, 9, 433, 282, 696, 3477, 39, 406, 12, 608, 147, 6]	[93, 98, 20, 15, 538]	[24, 93, 15, 538, 5]	[943, 31, 864, 1005, 33, 1110, 918, 43, 102, 1006, 881, 23, 1011, 907, 8, 389, 6]
15986315_221_A2JKETV64OU7DY	dev	0	[45, 231, 10, 1364, 9, 605]	[45, 231, 10, 319, 249, 5013, 9, 21, 67, 68]	[351, 10, 1183, 1364, 16, 289, 2425, 16, 9, 2257, 6]	[520, 8, 238, 7, 473]	[8, 520, 238, 7, 473, 5]	[8, 2228, 520, 39, 88, 12, 7, 473, 14, 3, 117, 39, 51, 2271, 5]
14370176_130_A3C9GGDXBZW62D	dev	1	[19, 31, 94, 4, 21, 55, 477, 23, 8, 20, 4018]	[19, 31, 94, 4, 21, 55, 477, 23, 8, 4018]	[2244, 17, 148, 1761, 7, 511, 477, 23, 8, 20, 164, 4018, 6]	[167, 35, 458, 65, 10, 1155]	[10, 167, 35, 458, 65, 72, 575, 5]	[18, 167, 35, 458, 65, 198, 55, 131, 712, 17, 115, 16, 30, 10, 26, 1155, 5]
14233480_249_A1I4CYG5YDFTYM	dev	0	[26, 24, 1731, 1250, 1306, 109, 4674, 35, 124, 30, 4693, 70]	[26, 24, 11, 1731, 1250, 1306, 109, 4674, 35, 124, 30, 4693, 70]	[3750, 10, 94, 40, 3730, 229, 52, 583, 6]	[148, 13, 15, 670, 4, 21, 110, 40, 63]	[8, 63, 987, 290, 7, 277, 387, 5]	[13, 29, 148, 15, 670, 4, 21, 110, 40, 63, 5]
14383502_468_A1LZPWVZRTUZD0	dev	1	[168, 4268, 363, 344, 59, 4, 1363, 446, 25, 2184, 33, 4699, 12, 25, 37]	[168, 4268, 363, 41, 20, 344, 59, 4, 1363, 446, 25, 2184, 33, 4699, 12, 25, 37]	[707, 24, 78, 25, 181, 219, 705, 95, 37, 13, 15, 1182, 62, 3, 168, 6]	[59, 116, 228, 523, 13, 11, 344, 44, 4, 728, 297, 229, 14, 25, 37]	[59, 116, 523, 1700, 25, 37, 31, 219]	[13, 59, 116, 228, 523, 344, 44, 4, 728, 297, 229, 14, 25, 37, 30, 460, 1625, 297, 1288, 5]
15875797_76_APW9F8OTJ4KXO	dev	1	[3, 349, 12, 45, 13, 11, 15, 767, 354, 190, 12, 3, 1007, 12, 7, 410]	[3, 349, 12, 45, 13, 15, 767, 354, 190, 12, 3, 1007, 12, 7, 410]	[22, 10, 4756, 3, 347, 4, 248, 140, 262, 14, 25, 328, 6]	[2534, 1297, 262]	[13, 116, 1297, 262, 116, 15, 1772, 5]	[1285, 2199, 1724, 10, 1088, 14, 55, 641, 4, 3, 679, 1232, 23, 7, 178, 1281, 17, 3, 117, 8, 7, 117, 1024, 6, 8, 69, 7, 38, 687, 5]
15164217_397_A104V8NZIQFN2F	dev	0	[954, 221, 20, 2311, 89, 381]	[954, 36, 2311, 89, 381]	[220, 125, 284, 73, 1450, 4, 5069, 1053, 29, 381, 6]	[1208, 8, 7, 910, 326]	[8, 1208, 7, 910, 326, 5]	[18, 32, 72, 27, 4, 1298, 103, 2496, 2512, 31, 729, 12, 55, 1742, 1944, 5]
16625502_544_A3C9GGDXBZW62D	dev	0	[32, 27, 44, 4, 15, 2392]	[32, 18, 20, 27, 44, 4, 15, 2392]	[71, 19, 8, 20, 17, 7, 93, 99, 518, 16, 32, 24, 11, 1355, 33, 44, 4, 15, 2392, 6]	[93, 98, 20, 15, 538]	[24, 93, 15, 538, 5]	[943, 31, 864, 1005, 33, 1110, 918, 43, 102, 1006, 881, 23, 1011, 907, 8, 389, 6]
17009879_146_A1LZPWVZRTUZD0	dev	1	[948, 3308, 22, 141, 29, 4770, 481, 1574]	[948, 154, 72, 202, 4, 414, 9, 1276, 3345, 5294]	[292, 4355, 31, 329, 4343, 417, 3782, 81, 4196, 417, 1294, 9, 236, 3689, 4748, 948, 15, 2266, 6]	[19, 13, 15, 191, 4, 584, 232, 329]	[13, 19, 15, 143, 4, 584, 232, 329, 5]	[28, 384, 1080, 16, 80, 176, 111, 325, 3, 299, 168, 4, 78, 1013, 3, 914, 12, 7, 329, 7, 494, 6]
17012985_251_A1OYYWJ2B7OQTD	dev	1	[946, 13, 21, 3, 130, 4, 15, 17, 754, 12, 25, 2278]	[946, 13, 11, 21, 3, 130, 4, 15, 17, 754, 12, 25, 2278]	[1574, 8, 7, 494, 990, 430, 16, 22, 13, 15, 1364, 33, 579, 229, 9, 766, 6]	[19, 13, 15, 143, 4, 584, 232, 329]	[13, 19, 15, 143, 4, 584, 232, 329, 5]	[28, 384, 1080, 16, 80, 176, 111, 325, 3, 299, 168, 4, 78, 1013, 3, 914, 12, 7, 329, 7, 494, 6]
15418829_538_A1DJNUJZN8FE7N	dev	1	[89, 1201, 1768, 924, 1461]	[89, 1201, 1768, 2484, 1461]	[67, 515, 3, 2833, 12, 7, 174, 31, 1023, 16, 32, 164, 21, 3, 2354, 4, 3195, 3, 2008, 30, 248, 9, 3195, 247, 6]	[339, 174, 8, 11, 57, 927]	[8, 3, 339, 174, 57, 927, 5]	[8, 2248, 2057, 3, 99, 75, 4, 460, 653, 519, 5, 30, 8, 224, 99, 3312, 3271, 5]
16325513_0_A2D7S8Y2FAUWMC	dev	0	[416, 31, 2046, 3493, 21, 11, 102, 4590, 3341, 62, 2643, 35, 792, 1733, 1010]	[416, 31, 2046, 3493, 21, 102, 4590, 3341, 62, 2643, 35, 792, 1733, 1010]	[77, 7, 358, 12, 931, 123, 21, 1081, 126, 24, 11, 1726, 416, 31, 2046, 3493, 4, 3, 868, 12, 1710, 1534, 6]	[2405, 2448, 1407, 13, 11, 165, 1815]	[10, 2643, 35, 792, 1733, 1010, 1815, 1069, 5]	[13, 2405, 2448, 1407, 165, 1815, 14, 3, 792, 1733, 1010, 5]
16634255_46_A247LJDZOGXJK6	dev	1	[19, 41, 20, 515, 84, 3, 2223, 1605, 103, 19]	[19, 1357, 84, 3, 2223, 1605, 103, 19]	[708, 1577, 4942, 16, 9, 3351, 7, 258, 31, 1602, 41, 29, 418, 52, 38, 6]	[359, 941, 13, 11, 15, 654, 146, 681]	[13, 359, 941, 15, 654, 146, 681, 5]	[1950, 1994, 2009, 2010, 757, 4, 373, 1379, 3, 401, 4, 1723, 1473, 2014, 6, 8, 69, 3, 130, 656, 5]
16967643_582_A34QZDSTKZ3JO9	dev	0	[34, 42, 121, 33, 3, 82, 9, 38, 1126]	[34, 42, 121, 33, 3, 82, 1126]	[2404, 344, 637, 4, 15, 1006, 70, 33, 82, 1126, 6]	[19, 8, 562, 4, 362, 637, 119]	[8, 19, 562, 4, 362, 637, 119, 5]	[39, 34, 1995, 25, 1997, 9, 908, 14, 1455, 1978, 16, 13, 26, 330, 4, 1981, 4, 495, 594, 9, 1508, 1485, 5]
13848355_386_AE861G0AY5RGT	dev	0	[39, 132, 707, 489, 204, 11, 15, 202, 4, 1460, 1047]	[39, 132, 707, 489, 13, 15, 202, 4, 1460, 1047]	[770, 4332, 24, 15, 4930, 6]	[770, 1415, 3531, 13, 15, 3443]	[532, 791, 4010, 5]	[13, 3, 770, 1415, 3531, 15, 3443, 5]
15893089_211_AA7ASGQEOMKEZ	dev	0	[32, 21, 45, 29, 131, 4464, 48, 4567, 530, 23, 10, 20, 3851, 4, 416, 31, 467, 95, 420, 7, 409, 1753, 381]	[32, 21, 45, 29, 131, 4464, 48, 4567, 530, 23, 10, 20, 3851, 4, 416, 31, 467, 95, 420, 7, 409, 29, 381]	[3, 1297, 262, 363, 154, 3762, 14, 128, 3709, 16, 95, 8, 11, 3851, 4, 416, 31, 467, 6]	[2534, 1297, 262]	[13, 116, 1297, 262, 116, 15, 1772, 5]	[1285, 2199, 1724, 10, 1088, 14, 55, 641, 4, 3, 679, 1232, 23, 7, 178, 1281, 17, 3, 117, 8, 7, 117, 1024, 6, 8, 69, 7, 38, 687, 5]
14382500_212_A247LJDZOGXJK6	dev	0	[4495, 600, 193]	[4495, 600, 1070, 9, 1277]	[2186, 297, 229, 36, 214, 4, 364, 1070, 9, 1277, 6]	[59, 116, 228, 523, 13, 11, 344, 44, 4, 728, 297, 229, 14, 25, 37]	[59, 116, 523, 1700, 25, 37, 31, 219]	[13, 59, 116, 228, 523, 344, 44, 4, 728, 297, 229, 14, 25, 37, 30, 460, 1625, 297, 1288, 5]
16325513_0_A1I4CYG5YDFTYM	dev	1	[3, 1733, 1010, 1189, 4, 3, 678, 1555, 12, 4253, 9, 4094]	[19, 154, 20, 3, 1733, 1010, 1189, 4, 3, 678, 1555, 12, 4253, 9, 4094]	[77, 7, 358, 12, 931, 123, 21, 1081, 126, 24, 11, 1726, 416, 31, 2046, 3493, 4, 3, 868, 12, 1710, 1534, 6]	[2405, 2448, 1407, 13, 11, 165, 1815]	[10, 2643, 35, 792, 1733, 1010, 1815, 1069, 5]	[13, 2405, 2448, 1407, 165, 1815, 14, 3, 792, 1733, 1010, 5]
16629299_15_A247LJDZOGXJK6	dev	1	[19, 8, 3, 60, 31, 921, 4, 248, 2185, 23, 24, 11, 15, 4661]	[93, 36, 765, 4, 2451, 3, 2185]	[93, 2451, 2185]	[93, 98, 20, 15, 538]	[24, 93, 15, 538, 5]	[943, 31, 864, 1005, 33, 1110, 918, 43, 102, 1006, 881, 23, 1011, 907, 8, 389, 6]
15978831_359_AE861G0AY5RGT	dev	0	[351, 18, 20, 165, 146, 3, 347]	[231, 18, 20, 113, 351, 4, 165, 146, 3, 347]	[143, 351, 155, 739, 12, 3, 4905, 278, 43, 4, 495, 87, 715, 146, 3, 347, 6]	[520, 8, 238, 7, 473]	[8, 520, 238, 7, 473, 5]	[8, 2228, 520, 39, 88, 12, 7, 473, 14, 3, 117, 39, 51, 2271, 5]
16623737_154_A34QZDSTKZ3JO9	dev	1	[93, 36, 1171, 4, 78, 2318, 68]	[93, 36, 1171, 4, 4795, 3, 2318, 68]	[93, 36, 100, 282, 606, 334, 4, 15, 913, 6]	[93, 98, 20, 15, 538]	[24, 93, 15, 538, 5]	[943, 31, 864, 1005, 33, 1110, 918, 43, 102, 1006, 881, 23, 1011, 907, 8, 389, 6]
16625746_229_AYFOAD75CRBKE	dev	1	[51, 10, 1401, 62, 3318, 22]	[51, 10, 11, 1401, 62, 3318, 22]	[93, 113, 4, 15, 1066, 4, 29, 218, 832, 52, 3, 807, 1024, 6]	[93, 98, 20, 15, 538]	[24, 93, 15, 538, 5]	[943, 31, 864, 1005, 33, 1110, 918, 43, 102, 1006, 881, 23, 1011, 907, 8, 389, 6]
16629299_15_A1CF6U3GF7DZEJ	dev	0	[3, 1446, 4333, 10, 11, 4261]	[3, 1446, 4333, 10, 4261]	[93, 2451, 2185]	[93, 98, 20, 15, 538]	[24, 93, 15, 538, 5]	[943, 31, 864, 1005, 33, 1110, 918, 43, 102, 1006, 881, 23, 1011, 907, 8, 389, 6]
15986315_221_A34QZDSTKZ3JO9	dev	1	[351, 36, 437, 21, 114, 444]	[351, 36, 1492, 4, 21, 114, 444]	[351, 10, 1183, 1364, 16, 289, 2425, 16, 9, 2257, 6]	[520, 8, 238, 7, 473]	[8, 520, 238, 7, 473, 5]	[8, 2228, 520, 39, 88, 12, 7, 473, 14, 3, 117, 39, 51, 2271, 5]
16620527_0_A34QZDSTKZ3JO9	dev	1	[943, 3857, 26, 112, 726]	[943, 2212, 26, 112, 726]	[943, 3713, 73, 9, 600, 29, 4964, 62, 1005, 28, 4798, 6]	[93, 98, 20, 15, 538]	[24, 93, 15, 538, 5]	[943, 31, 864, 1005, 33, 1110, 918, 43, 102, 1006, 881, 23, 1011, 907, 8, 389, 6]
14164520_257_A104V8NZIQFN2F	dev	1	[1016, 93, 36, 373, 271, 60, 3, 177, 68, 19, 157, 4, 2562, 869]	[1016, 93, 36, 11, 373, 60, 3, 177, 68, 19, 157, 4, 2562, 869]	[32, 27, 4, 2562, 869, 14, 377, 1534, 6]	[3, 792, 1909, 13, 11, 15, 1835, 4, 1338]	[2742, 1338, 17, 3, 792]	[13, 3, 792, 1909, 15, 1835, 4, 179, 35, 2713, 1016, 9, 1019, 1338, 5]
16635954_53_A1LZPWVZRTUZD0	dev	1	[19, 147, 1483, 4, 485, 359, 941, 146, 681, 87, 38, 713]	[19, 41, 11, 152, 1483, 4, 485, 359, 941, 146, 681, 87, 38, 713]	[3, 92, 38, 397, 4, 11, 769, 359, 941, 146, 681, 8, 22, 4054, 103, 152, 6]	[359, 941, 13, 15, 654, 146, 681]	[13, 359, 941, 15, 654, 146, 681, 5]	[1950, 1994, 2009, 2010, 757, 4, 373, 1379, 3, 401, 4, 1723, 1473, 2014, 6, 8, 69, 3, 130, 656, 5]
14085948_448_A1CF6U3GF7DZEJ	dev	0	[26, 10, 11, 3, 92, 22, 32, 21, 17, 69, 374]	[26, 10, 3, 92, 22, 32, 21, 17, 69, 374]	[71, 126, 42, 623, 40, 696, 3975, 39, 123, 18, 16, 39, 7, 3685, 4988, 16, 3725, 23, 3975, 23, 765, 4, 159, 70, 14, 1722, 9, 24, 92, 539, 4, 7, 1566, 14, 7, 515, 12, 3684, 16, 320, 587, 4826, 3816, 39, 7, 2220, 16, 24, 17, 67, 75, 15, 2280, 6]	[2001, 10, 2567]	[10, 2001, 2567, 5]	[18, 2001, 21, 57, 88, 3307, 16, 569, 25, 3748, 542, 40, 3778, 9, 1454, 5]
14085524_189_A34QZDSTKZ3JO9	dev	0	[2002, 8, 11, 4543]	[954, 8, 11, 4543]	[2002, 8, 11, 954, 6]	[2001, 10, 2567]	[10, 2001, 2567, 5]	[18, 2001, 21, 57, 88, 3307, 16, 569, 25, 3748, 542, 40, 3778, 9, 1454, 5]
17042201_161_AB98SGS280TY5	dev	1	[1559, 637, 871, 34, 78, 1692, 9, 1495, 982, 6]	[1559, 637, 41, 20, 107, 34, 78, 1692, 9, 1495, 982, 6]	[1559, 637, 119, 5063, 67, 5236, 134, 33, 3, 258, 223, 3, 1559, 6]	[19, 8, 11, 562, 4, 362, 637, 119]	[8, 19, 562, 4, 362, 637, 119, 5]	[39, 34, 1995, 25, 1997, 9, 908, 14, 1455, 1978, 16, 13, 26, 330, 4, 1981, 4, 495, 594, 9, 1508, 1485, 5]
15986315_221_AYFOAD75CRBKE	dev	1	[23, 8, 7, 2083, 2174, 62, 3278]	[23, 8, 11, 7, 2083, 2174, 62, 3278]	[351, 10, 1183, 1364, 16, 289, 2425, 16, 9, 2257, 6]	[520, 8, 238, 7, 473]	[8, 520, 238, 7, 473, 5]	[8, 2228, 520, 39, 88, 12, 7, 473, 14, 3, 117, 39, 51, 2271, 5]
17090878_0_A34QZDSTKZ3JO9	dev	0	[334, 304, 4150, 10, 20, 39, 3965]	[51, 334, 304, 4150, 10, 127, 39, 3965]	[3, 2598, 12, 1574, 9, 282, 3849, 4, 1276, 3, 3917, 8, 3965, 6]	[19, 13, 15, 143, 4, 584, 232, 329]	[13, 19, 15, 143, 4, 584, 232, 329, 5]	[28, 384, 1080, 16, 80, 176, 111, 325, 3, 299, 168, 4, 78, 1013, 3, 914, 12, 7, 329, 7, 494, 6]
14233480_105_A3GNQDFPZALU92	dev	0	[63, 987, 1277, 393, 18, 20, 4542, 3, 76, 393, 12, 1379]	[63, 987, 1277, 393, 195, 4542, 3, 76, 393, 12, 141, 1379]	[3279, 3638, 21, 76, 3265, 393, 6]	[148, 13, 15, 670, 4, 21, 110, 40, 63]	[8, 63, 987, 290, 7, 277, 387, 5]	[13, 29, 148, 15, 670, 4, 21, 110, 40, 63, 5]
16146321_374_A104V8NZIQFN2F	dev	1	[3434, 3014, 36, 248, 7, 1480, 4725, 4469]	[3434, 3014, 36, 11, 248, 7, 1480, 4725, 4469]	[554, 8, 587, 186, 4, 248, 1385, 9, 4000, 48, 3434, 3014, 6]	[554, 24, 11, 15, 7, 1829]	[24, 554, 238, 15, 7, 1829, 4, 532, 398, 4, 186, 5]	[24, 554, 15, 55, 1176, 17, 2688, 186, 9, 843, 303, 30, 8, 19, 57, 985, 2648, 4, 3, 285, 693, 5]
14083548_195_A1CF6U3GF7DZEJ	dev	0	[3, 442, 8, 4849, 223, 138]	[3, 442, 8, 223, 138]	[3, 442, 8, 7, 2132, 1556, 12, 391, 5169, 2001, 6]	[2001, 10, 11, 2567]	[10, 2001, 2567, 5]	[18, 2001, 21, 57, 88, 3307, 16, 569, 25, 3748, 542, 40, 3778, 9, 1454, 5]
16633504_360_A104V8NZIQFN2F	dev	1	[19, 42, 15, 1251, 4, 127, 2325, 47, 3, 966, 215, 9, 1283, 19, 70, 1528]	[19, 42, 15, 29, 937, 4, 127, 2325, 47, 3, 966, 215, 9, 1283, 19, 70, 1528]	[19, 41, 11, 168, 84, 26, 4004, 91, 171, 157, 171, 681, 16, 9, 227, 8, 957, 17, 3, 5258, 12, 171, 171, 5168, 217, 171, 6]	[359, 941, 13, 11, 15, 654, 146, 681]	[13, 359, 941, 15, 654, 146, 681, 5]	[1950, 1994, 2009, 2010, 757, 4, 373, 1379, 3, 401, 4, 1723, 1473, 2014, 6, 8, 69, 3, 130, 656, 5]
15163963_215_AE861G0AY5RGT	dev	0	[3, 4481, 10, 220, 29, 110, 17, 427, 1968]	[3, 4481, 10, 67, 162, 220, 110, 17, 427, 1968]	[5183, 8, 3486, 6]	[1208, 8, 7, 910, 326]	[8, 1208, 7, 910, 326, 5]	[18, 32, 72, 27, 4, 1298, 103, 2496, 2512, 31, 729, 12, 55, 1742, 1944, 5]
16685913_263_A1DJNUJZN8FE7N	dev	1	[123, 533, 109, 4, 323, 25, 247, 672]	[123, 42, 20, 109, 4, 323, 25, 247, 672]	[351, 1328, 5154, 9, 18, 20, 448, 812, 247, 6]	[548, 13, 1735, 1287]	[13, 548, 1735, 1287, 481, 3, 1986, 337, 5]	[1686, 43, 1162, 481, 19, 154, 2330, 23, 106, 12, 3, 1986, 1935, 798, 7, 1061, 955, 23, 204, 21, 102, 379, 4, 2206, 582, 6]
